V2_mean	Isense_mean	dt	V2Ref_set
509	510	500	61
PWM	V2_read	Isense_read
105	53	510
108	1023	510
113	69	511
122	165	511
130	1023	511
134	1023	512
132	1023	511
130	349	511
130	279	511
134	273	512
140	389	512
147	565	511
152	1023	512
151	1023	512
145	1023	512
135	917	511
125	383	513
118	93	512
117	0	513
116	1023	513
110	1023	512
99	1023	512
90	0	512
87	0	512
90	0	512
99	0	511
109	1023	511
120	0	510
130	1023	511
136	1023	511
136	1023	511
132	1023	511
127	325	511
125	180	512
129	117	511
131	1023	512
133	285	512
138	341	512
145	485	513
150	928	511
150	1023	512
145	1023	513
136	900	511
122	1023	514
110	0	513
105	0	513
106	0	513
113	0	513
126	0	513
145	129	512
163	1023	513
176	1023	513
185	775	514
193	681	514
198	1023	515
199	679	517
197	1023	516
190	1023	518
178	1023	518
161	1023	518
139	1023	519
116	453	518
90	1023	519
66	0	518
48	0	518
-43	461	516
-53	0	515
-57	0	513
-54	0	512
-46	0	511
45	166	511
60	651	511
76	456	511
94	320	510
110	1023	510
121	1023	510
127	1023	510
128	1023	511
124	1023	512
115	1023	511
107	0	511
106	0	511
105	1023	511
98	1023	511
87	1023	511
77	0	510
71	301	510
64	1023	510
56	375	511
46	1023	510
-42	447	511
-53	548	510
-63	558	510
-72	364	510
-82	725	510
-92	629	510
-102	577	510
-112	394	510
-119	398	511
-125	409	510
-128	302	510
-128	301	510
-125	267	510
-119	221	510
-109	366	509
-99	554	510
-87	447	509
-77	938	510
-68	402	510
-57	369	509
-46	687	510
41	557	510
53	503	510
64	609	511
77	380	510
92	311	510
105	1023	510
119	132	511
132	1023	511
144	453	511
154	955	510
159	1023	511
159	1023	512
154	1023	513
144	1023	513
130	829	511
117	241	513
103	1023	513
91	0	513
78	1023	512
66	0	512
55	1023	511
44	0	511
-39	478	511
-45	522	510
-51	553	510
-56	560	510
-60	367	510
-64	692	510
-70	702	511
-75	371	510
-80	720	511
-84	378	510
-88	669	510
-93	620	511
-98	579	511
-104	582	511
-108	396	510
-110	401	510
-110	406	511
-109	409	510
-106	413	510
-101	411	510
-97	708	511
-93	670	509
-90	622	510
-88	594	510
-85	386	510
-81	654	511
-77	379	510
-72	697	511
-69	726	510
-66	370	510
-60	367	510
-54	692	510
-50	683	511
-46	560	511
-41	556	511
40	546	510
45	511	510
49	652	511
54	612	510
58	450	511
63	593	510
69	469	510
72	1023	511
74	343	510
75	1023	511
75	325	510
78	325	510
79	1023	511
80	293	510
84	285	510
91	237	509
97	1023	511
104	81	510
110	1023	511
118	124	511
129	229	511
143	357	511
157	927	509
165	1023	512
168	1023	511
167	1023	512
160	1023	513
148	1023	512
132	1005	512
115	287	514
97	1023	513
80	0	514
69	0	512
59	1023	512
49	0	512
47	0	510
47	440	511
48	613	510
50	444	510
53	445	510
56	610	510
60	453	511
64	575	511
66	1023	510
66	369	510
65	1023	510
63	373	510
63	383	510
61	1023	510
54	1023	511
45	451	510
-39	478	510
-45	522	511
-52	553	510
-58	559	510
-65	687	510
-71	367	509
-77	723	510
-82	374	510
-86	378	510
-89	644	510
-92	606	510
-96	582	510
-100	586	511
-104	580	511
-108	562	510
-112	540	510
-116	507	510
-118	462	510
-119	400	511
-117	364	511
-114	421	509
-109	497	510
-105	572	510
-100	657	510
-98	784	510
-95	408	510
-93	661	510
-89	391	510
-84	387	510
-78	663	510
-72	376	510
-65	726	511
-59	366	510
-51	690	510
-45	613	511
40	230	511
50	510	511
61	446	511
73	563	511
87	341	509
104	197	510
125	135	510
146	1023	511
162	1023	510
172	1023	511
178	1023	511
178	1023	513
173	1023	513
164	1023	514
149	1023	514
129	1023	513
105	1023	515
82	0	513
65	0	514
48	1023	513
-44	0	512
-54	0	510
-61	671	510
-67	363	510
-73	709	511
-79	371	510
-84	672	510
-89	381	510
-91	385	510
-93	584	510
-95	586	510
-96	391	511
-94	392	510
-93	607	511
-90	390	510
-85	387	510
-80	652	510
-74	377	510
-68	725	510
-62	368	510
-55	697	510
-48	371	510
39	222	511
51	521	510
64	448	510
76	1023	510
86	321	510
95	1023	511
104	100	511
119	101	510
134	1023	511
143	1023	511
147	1023	511
146	1023	512
140	1023	512
129	1023	512
113	1023	512
98	0	512
83	1023	511
70	0	511
63	0	511
56	1023	510
48	389	510
41	612	510
-43	502	510
-50	549	510
-56	560	511
-62	368	510
-65	364	510
-68	704	510
-72	714	510
-76	371	510
-80	710	510
-83	377	510
-86	676	510
-90	645	510
-95	593	510
-99	581	511
-104	583	510
-109	558	511
-114	524	511
-117	477	511
-120	435	510
-120	345	511
-117	332	511
-113	419	511
-107	510	510
-102	605	510
-96	427	510
-88	416	510
-80	744	510
-72	378	510
-64	727	510
-56	366	510
-47	684	510
-39	670	510
44	523	510
52	639	510
59	449	510
67	585	511
77	365	509
89	313	510
99	1023	510
110	97	510
120	1023	511
126	1023	511
126	1023	511
121	1023	511
112	1023	511
103	0	511
102	0	511
99	1023	511
92	1023	510
87	0	510
81	1023	511
75	265	510
67	1023	511
59	364	510
52	586	511
45	448	511
39	652	511
-45	514	510
-51	553	511
-57	560	510
-64	686	511
-72	703	511
-82	725	510
-93	629	509
-103	388	510
-112	547	511
-121	478	511
-127	384	510
-132	328	511
-134	393	510
-134	417	508
-132	399	508
-128	328	509
-121	221	509
-111	320	509
-99	524	509
-86	467	509
-75	937	510
-64	434	510
-52	389	510
-40	681	510
48	536	511
60	612	510
72	459	510
86	348	510
98	1023	510
112	101	510
124	1023	511
136	341	510
146	1023	510
151	1023	512
151	1023	511
145	1023	511
136	943	511
125	429	512
119	105	512
111	1023	512
98	1023	512
87	0	512
76	1023	511
66	0	511
56	1023	511
45	381	510
-41	477	510
-49	544	510
-58	559	510
-67	687	511
-78	711	510
-88	374	510
-97	384	510
-104	568	510
-110	396	510
-115	508	511
-118	464	510
-121	407	510
-121	319	510
-118	304	509
-112	388	510
-106	520	510
-99	624	511
-95	785	510
-93	840	510
-91	397	510
-88	599	510
-85	386	510
-81	654	510
-76	377	510
-71	709	511
-68	724	510
-65	368	509
-61	705	510
-59	695	510
-56	361	510
-52	684	509
-50	608	510
-45	213	510
40	230	509
51	509	511
61	612	510
72	460	511
85	345	510
101	229	510
116	1023	510
126	1023	510
131	1023	511
135	373	511
141	453	510
146	663	510
149	985	511
146	1023	511
139	1023	512
127	1023	513
109	1023	512
87	1023	512
66	0	512
51	0	512
-40	914	510
-55	531	510
-68	130	511
-77	368	510
-86	700	510
-96	650	510
-105	390	509
-113	395	510
-118	400	510
-122	422	510
-123	313	510
-122	268	510
-117	274	510
-109	419	510
-101	558	510
-94	739	510
-86	423	510
-77	400	510
-68	693	510
-60	716	511
-54	693	511
-49	599	510
-41	217	509
44	546	510
54	482	510
64	607	510
76	380	510
89	321	511
101	1023	510
108	1023	511
110	1023	510
113	101	510
121	125	511
133	197	510
148	437	511
161	1023	511
168	1023	511
171	1023	512
168	1023	512
161	1023	513
148	1023	513
131	1002	513
113	257	514
101	0	513
89	1023	513
77	0	513
73	0	513
74	0	512
76	1023	512
79	0	511
88	0	511
97	1023	511
107	85	510
117	1023	510
121	1023	511
120	1023	511
115	1023	511
104	1023	511
95	0	511
85	1023	511
77	29	510
69	1023	510
59	351	510
51	585	511
44	446	510
-39	480	510
-45	521	510
-50	554	510
-55	560	510
-60	556	511
-66	692	511
-73	708	510
-80	372	510
-86	657	510
-93	647	510
-100	577	510
-108	570	511
-115	519	510
-121	453	510
-126	358	509
-127	288	510
-125	261	510
-120	225	509
-111	332	510
-101	522	509
-92	734	509
-83	433	511
-75	961	509
-68	374	510
-61	717	511
-56	695	510
-52	684	510
-49	680	510
-45	217	510
40	230	511
51	510	510
61	612	511
72	462	511
85	348	510
101	229	509
116	1023	510
130	292	511
147	423	511
161	1023	511
170	1023	511
175	1023	511
175	797	512
172	1023	513
164	1023	514
151	1023	513
132	1023	514
114	277	514
100	0	514
93	0	513
86	1023	514
80	0	513
80	0	513
87	0	512
94	1023	512
102	0	511
110	1023	511
113	1023	511
117	0	511
128	0	511
138	1023	512
144	1023	511
144	1023	511
139	1023	511
130	1023	512
115	1023	512
102	0	512
88	1023	512
76	0	512
71	0	511
72	0	511
72	1023	511
72	341	510
75	341	509
75	1023	510
75	325	510
78	325	511
79	1023	510
80	293	510
84	285	510
91	237	510
97	1023	511
98	1023	511
100	53	510
101	1023	511
104	45	510
113	55	510
121	1023	510
124	1023	510
122	1023	510
115	1023	511
103	1023	511
93	0	511
82	1023	510
73	21	510
67	336	510
60	1023	510
51	575	511
43	447	510
-41	487	510
-48	544	510
-54	559	510
-61	559	510
-68	694	510
-74	368	510
-81	724	510
-87	377	510
-91	384	510
-93	387	510
-94	585	511
-95	593	511
-95	391	510
-95	600	511
-94	391	510
-92	602	510
-88	389	510
-83	386	510
-78	672	510
-72	376	510
-66	727	511
-59	367	510
-51	362	510
-39	208	510
52	522	510
66	611	510
81	371	509
99	277	509
116	1023	510
132	293	511
150	471	511
165	1023	511
176	1023	511
181	1023	512
182	1023	513
179	709	514
175	757	514
167	1023	515
153	1023	515
135	1023	516
116	357	515
102	0	515
87	1023	515
74	0	514
68	0	514
61	1023	513
55	0	512
56	0	511
57	1023	511
59	0	511
64	585	510
70	375	510
74	1023	510
77	333	510
79	1023	509
80	293	510
84	284	510
92	237	510
99	1023	511
100	1023	510
103	49	511
105	1023	511
109	49	510
118	87	511
126	1023	510
130	1023	511
132	327	511
137	359	511
144	493	511
149	927	510
149	1023	510
144	1023	511
136	861	510
126	421	513
121	132	513
121	0	512
120	1023	513
115	1023	512
105	1023	512
89	1023	513
76	0	512
68	0	512
61	1023	511
54	0	510
51	608	510
48	446	510
45	612	510
41	652	511
-39	559	510
-42	522	510
-46	549	511
-49	558	511
-51	559	511
-52	208	510
-50	559	511
-47	214	510
-41	558	511
41	547	510
47	503	510
53	614	510
60	450	510
67	575	510
76	365	510
87	321	511
97	1023	510
107	95	510
117	1023	511
126	279	511
138	301	511
152	565	510
163	1023	511
169	1023	512
170	1023	512
166	945	513
158	1023	513
144	1023	513
127	761	513
112	145	513
103	0	513
94	1023	514
86	0	513
84	0	513
89	0	513
93	1023	512
99	0	511
105	1023	511
106	1023	511
101	1023	511
99	0	510
102	0	510
