V2_mean	Isense_mean	dt
-138	516	476
-140	530	476
-141	543	474
-142	555	472
-144	391	494
-145	576	474
-146	415	495
-147	599	471
-149	610	473
-150	441	494
-151	599	466
-153	386	492
-154	546	462
-155	521	466
-156	335	494
-158	519	465
-159	361	495
-160	550	467
-161	566	464
-163	402	495
-164	604	467
-165	427	495
-167	628	465
-168	642	466
-169	464	496
-170	666	463
-172	443	490
-173	687	465
-174	693	467
-175	351	491
-177	690	468
-178	349	491
-179	667	472
-181	651	472
-182	392	490
-183	589	471
-184	420	491
-186	433	470
-187	608	470
-188	459	492
-189	661	471
-191	677	469
-192	557	466
-193	481	466
-195	401	491
-196	413	468
-197	361	490
-198	400	470
-200	416	471
-201	395	492
-202	446	471
-204	425	491
-205	474	471
-206	488	471
-207	469	489
-209	515	471
-210	495	491
-211	540	470
-212	528	469
-214	466	485
-215	459	472
-216	407	484
-218	409	474
-219	405	475
-220	405	484
-221	435	476
-223	450	475
-224	466	477
-225	480	477
-226	488	481
-228	508	478
-229	516	481
-230	535	477
-232	549	477
-233	541	478
-234	515	476
-235	477	476
-237	445	476
-238	423	477
-239	414	477
-240	425	477
-242	441	478
-243	458	478
-244	473	478
-246	489	477
-247	503	478
-248	518	478
-249	532	478
-251	545	478
-252	559	478
-253	561	477
-255	533	475
-254	496	475
-253	462	476
-252	437	475
-250	423	477
-249	430	478
-248	446	478
-247	462	477
-245	477	477
-244	492	477
-243	507	477
-241	522	477
-240	536	477
-239	550	477
-238	564	478
-236	573	476
-235	552	475
-234	517	474
-233	479	475
-231	449	475
-230	432	475
-229	429	476
-227	444	478
-226	461	477
-225	477	476
-224	493	475
-222	508	475
-221	523	473
-220	539	472
-219	552	471
-217	566	471
-216	579	469
-215	573	467
-213	539	467
-212	499	469
-211	465	468
-210	442	469
-208	432	469
-207	442	469
-206	458	469
-204	474	469
-203	490	468
-202	505	467
-201	520	466
-199	534	466
-198	550	464
-197	568	464
-196	604	464
-194	634	462
-193	592	460
-192	525	461
-190	484	462
-189	462	462
-188	453	463
-187	390	489
-185	488	464
-184	540	465
-183	579	465
-182	632	465
-180	716	466
-179	838	466
-178	852	463
-176	807	461
-175	766	459
-174	760	459
-173	756	454
-171	747	457
-170	732	457
-169	696	459
-168	655	459
-166	635	459
-165	631	459
-164	651	457
-162	664	460
-161	666	458
-160	669	458
-159	678	458
-157	686	456
-156	689	460
-155	699	460
-153	714	465
-152	728	459
-151	698	460
-150	656	457
-148	638	457
-147	609	458
-146	590	459
-145	589	463
-143	602	461
-142	620	468
-141	635	463
-139	645	467
-138	651	471
-137	661	468
-136	676	474
-134	693	476
-133	709	480
-132	724	482
-131	719	477
-129	680	476
-128	638	474
-127	611	476
-125	372	478
-124	366	488
-123	590	481
-122	602	480
-120	612	482
-119	620	487
-118	429	486
-117	441	486
-115	453	485
-114	675	492
-113	689	493
-111	483	485
-110	483	483
-109	456	481
-108	643	491
-106	602	492
-105	370	492
-104	361	484
-102	364	483
-101	375	486
-100	387	482
-99	601	497
-97	410	484
-96	421	480
-95	646	499
-94	662	501
-92	676	500
-91	457	478
-90	704	501
-88	701	500
-87	672	502
-86	631	501
-85	594	502
-83	572	501
-82	565	503
-81	577	503
-80	593	503
-78	609	503
-77	406	471
-76	643	504
-74	656	505
-73	671	505
-72	686	504
-71	520	471
-69	711	505
-68	720	506
-67	711	505
-66	677	505
-64	647	505
-63	629	507
-62	613	506
-60	615	506
-59	637	506
-58	734	509
-57	874	507
-55	912	507
-54	922	505
-53	922	506
-51	925	507
-50	936	507
-49	943	507
-48	999	507
-46	1023	507
-45	1023	507
-44	701	507
-43	858	392
-41	1018	508
-40	1020	508
-39	1006	509
-37	997	508
-36	937	506
-35	965	509
-34	934	507
-32	912	508
-31	846	508
-30	763	508
-29	758	509
-27	741	509
-26	716	508
-25	683	509
-23	647	509
-22	603	509
-21	558	508
-20	512	508
-18	469	509
-17	427	508
-16	389	508
-15	358	508
-13	335	509
-12	316	508
-11	306	509
-9	305	509
-8	312	509
-7	325	508
-6	346	509
-4	372	509
-3	402	509
-2	436	509
0	472	509
1	528	509
2	562	509
3	593	510
5	623	509
6	644	510
7	659	510
8	669	510
10	673	510
11	670	510
12	661	511
14	646	510
15	627	510
16	604	509
17	578	510
19	550	510
20	521	510
21	493	510
22	466	510
24	441	510
25	420	510
26	403	509
28	391	510
29	382	509
30	379	510
31	382	509
33	389	510
34	400	510
35	417	509
36	437	510
38	459	510
39	482	510
40	505	510
42	530	509
43	552	509
44	572	510
45	592	510
47	609	510
48	627	510
49	646	510
51	663	510
52	682	511
53	705	510
54	725	510
56	740	510
57	752	511
58	761	510
59	761	511
61	754	510
62	785	511
63	807	511
65	807	510
66	946	521
67	904	524
68	856	523
70	812	527
71	743	525
