V2_mean	Isense_mean	dt
509	509	500
255	604	540	7
255	607	540	4
255	605	541	6
255	601	541	10
255	599	540	12
255	596	541	15
255	593	541	18
255	591	541	20
255	588	542	23
255	586	541	25
255	583	542	28
255	581	541	30
255	579	542	32
255	577	542	34
255	574	542	37
255	572	543	39
255	570	543	41
255	568	542	43
255	566	542	45
255	565	542	46
255	563	542	48
255	561	542	50
255	559	543	52
255	558	543	53
255	556	543	55
255	555	543	56
255	553	543	58
255	552	543	59
255	551	543	60
255	549	544	62
255	548	543	63
255	547	544	64
255	546	544	65
255	545	543	66
255	544	543	67
255	543	543	68
255	542	544	69
255	540	543	71
255	539	544	72
255	538	544	73
255	538	545	73
255	536	544	75
255	536	544	75
255	535	544	76
255	534	544	77
255	534	544	77
255	533	543	78
255	532	545	79
255	531	543	80
255	531	544	80
255	530	544	81
255	529	544	82
255	529	544	82
255	528	544	83
255	527	544	84
255	527	544	84
255	526	544	85
255	526	543	85
255	526	545	85
255	525	545	86
255	524	544	87
255	524	544	87
255	523	544	88
255	523	544	88
255	522	544	89
255	522	544	89
255	521	545	90
255	521	544	90
255	521	545	90
255	521	545	90
255	520	545	91
255	520	544	91
255	519	545	92
255	519	545	92
255	519	544	92
255	518	545	93
255	518	545	93
255	518	546	93
255	518	545	93
255	517	544	94
255	517	544	94
255	517	545	94
255	517	545	94
255	517	545	94
255	516	545	95
255	516	545	95
255	516	545	95
255	516	544	95
255	515	545	96
255	515	545	96
255	515	545	96
255	515	545	96
255	515	545	96
255	514	545	97
255	514	544	97
255	514	545	97
255	514	545	97
255	514	545	97
255	514	545	97
255	513	545	98
255	514	544	97
255	513	545	98
255	513	545	98
255	513	545	98
255	513	545	98
255	513	545	98
255	513	545	98
255	513	545	98
255	513	545	98
255	512	545	99
255	512	545	99
255	512	545	99
255	512	544	99
255	512	545	99
255	512	545	99
255	512	545	99
255	512	546	99
255	511	545	100
255	511	545	100
255	511	546	100
255	511	545	100
255	511	545	100
255	511	545	100
255	511	546	100
255	511	546	100
255	511	544	100
255	511	545	100
255	511	544	100
255	511	545	100
255	511	545	100
255	511	545	100
255	511	545	100
255	511	545	100
255	511	545	100
255	511	545	100
255	511	545	100
255	511	545	100
255	510	546	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	544	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	546	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	510	544	101
255	510	546	101
255	509	545	102
255	509	545	102
255	509	544	102
255	510	545	101
255	510	545	101
255	510	545	101
255	510	545	101
255	509	546	102
255	510	545	101
255	510	545	101
255	510	545	101
255	510	544	101
255	509	545	102
255	510	545	101
255	509	545	102
255	509	545	102
255	510	546	101
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	546	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	546	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	544	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	544	102
255	509	544	102
255	509	545	102
255	509	546	102
255	509	545	102
255	509	545	102
255	509	546	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	544	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	546	102
255	509	545	102
255	509	545	102
255	509	546	102
255	509	544	102
255	509	545	102
255	509	546	102
255	509	545	102
255	509	545	102
255	509	546	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	546	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	545	102
255	509	546	102
255	509	545	102
